Time_Frame,TM_Srvc_Type,Time_Frame_Yr,Time_Frame_Mth,Bene_Geo_Desc,Bene_Mdcd_Mdcr_Enrl_Stus,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,TM_Bene_Cnt,Tot_Bene_Cnt,TM_Bene_Pct
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,All,Urban,1896,13023,14.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,Less than 65,All,797,4063,19.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,Disabled,All,All,759,3772,20.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,ESRD,All,All,61,580,10.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,Female,All,All,All,2202,14455,15.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,Male,All,All,All,1578,11808,13.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,American Indian / Alaska Native,All,All,All,All,548,3961,13.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,Asian,All,All,All,All,100,942,10.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,Black/African American,All,All,All,All,115,737,15.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,Hispanic,All,All,All,All,89,654,13.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,White,All,All,All,All,2819,19191,14.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,Medicare & Medicaid,All,All,All,All,All,1226,7465,16.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,Medicare Only,All,All,All,All,All,2554,18798,13.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,Aged,All,All,47425,467587,10.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,65-74,All,24832,231392,10.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,75-84,All,17225,174770,9.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,85 and over,All,6031,67039,9.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,All,All,58895,539442,10.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,All,Rural,5463,63705,8.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,All,Urban,53376,474819,11.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,Less than 65,All,10807,66241,16.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,Disabled,All,All,10334,62253,16.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,ESRD,All,All,1136,9602,11.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,Female,All,All,All,35501,305957,11.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,Male,All,All,All,23394,233485,10.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,American Indian / Alaska Native,All,All,All,All,1072,12773,8.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,Asian,All,All,All,All,765,7913,9.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,Black/African American,All,All,All,All,2552,18725,13.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,Hispanic,All,All,All,All,7643,69827,10.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,White,All,All,All,All,45686,419238,10.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,Medicare & Medicaid,All,All,All,All,All,14895,115992,12.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,Medicare Only,All,All,All,All,All,44000,423450,10.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,Aged,All,All,13863,180769,7.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,65-74,All,7154,91885,7.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,75-84,All,4903,65659,7.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,85 and over,All,1964,25772,7.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,All,All,19873,235887,8.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,All,Rural,8754,104317,8.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,All,Urban,11045,130299,8.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,Less than 65,All,5852,52571,11.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,Disabled,All,All,5731,50277,11.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,ESRD,All,All,279,4841,5.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,Female,All,All,All,12440,137335,9.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,Male,All,All,All,7433,98552,7.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,American Indian / Alaska Native,All,All,All,All,98,993,9.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,Asian,All,All,All,All,68,1033,6.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,Black/African American,All,All,All,All,2479,32332,7.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,Hispanic,All,All,All,All,268,3423,7.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,White,All,All,All,All,16771,195929,8.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,Medicare & Medicaid,All,All,All,All,All,6833,68366,10.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,Medicare Only,All,All,All,All,All,13040,167521,7.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,Aged,All,All,412623,1884716,21.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,65-74,All,206413,910947,22.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,75-84,All,148208,683152,21.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,85 and over,All,64047,326738,19.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,All,All,473547,2153466,22.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,All,Rural,24021,149559,16.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,All,Urban,449414,2003231,22.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,Less than 65,All,54879,232629,23.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,Disabled,All,All,51750,211346,24.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,ESRD,All,All,9174,57404,16.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,Female,All,All,All,282295,1222649,23.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,Male,All,All,All,191252,930817,20.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,American Indian / Alaska Native,All,All,All,All,1395,6752,20.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,Asian,All,All,All,All,44095,232837,18.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,Black/African American,All,All,All,All,37856,137731,27.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,Hispanic,All,All,All,All,94348,456481,20.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,White,All,All,All,All,280589,1252572,22.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,Medicare & Medicaid,All,All,All,All,All,124655,638850,19.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,Medicare Only,All,All,All,All,All,348892,1514616,23.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,Aged,All,All,40423,261143,15.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,65-74,All,21571,133219,16.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,75-84,All,13462,90176,14.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,85 and over,All,5791,40421,14.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,All,All,48923,299440,16.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,All,Rural,5696,47133,12.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,All,Urban,43214,252199,17.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,Less than 65,All,8099,35624,22.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,Disabled,All,All,7843,33856,23.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,ESRD,All,All,657,4441,14.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,Female,All,All,All,29343,171903,17.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,Male,All,All,All,19580,127537,15.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,American Indian / Alaska Native,All,All,All,All,138,857,16.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,Asian,All,All,All,All,674,4513,14.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,Black/African American,All,All,All,All,1947,10059,19.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,Hispanic,All,All,All,All,4917,30161,16.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,White,All,All,All,All,39887,245716,16.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,Medicare & Medicaid,All,All,All,All,All,10734,57888,18.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,Medicare Only,All,All,All,All,All,38189,241552,15.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,Aged,All,All,34856,227806,15.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,65-74,All,17564,102976,17.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,75-84,All,12385,82131,15.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,85 and over,All,5255,45412,11.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,All,All,44668,265089,16.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,All,Rural,1603,10623,15.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,All,Urban,43058,254425,16.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,Less than 65,All,9464,34570,27.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,Disabled,All,All,9211,32970,27.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,ESRD,All,All,601,4313,13.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,Female,All,All,All,27335,153955,17.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,Male,All,All,All,17333,111134,15.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,American Indian / Alaska Native,All,All,All,All,40,207,19.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,Asian,All,All,All,All,586,3836,15.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,Black/African American,All,All,All,All,3798,21106,18.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,Hispanic,All,All,All,All,3913,19855,19.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,White,All,All,All,All,34804,211081,16.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,Medicare & Medicaid,All,All,All,All,All,17917,94779,18.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,Medicare Only,All,All,All,All,All,26751,170310,15.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,Aged,All,All,9760,72565,13.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,65-74,All,5436,37129,14.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,75-84,All,3337,26022,12.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,85 and over,All,1121,10454,10.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,All,All,12171,85217,14.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,All,Rural,3674,25078,14.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,All,Urban,8494,60112,14.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,Less than 65,All,2277,11612,19.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,Disabled,All,All,2207,10914,20.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,ESRD,All,All,204,1738,11.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,Female,All,All,All,7280,48524,15.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,Male,All,All,All,4891,36693,13.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,American Indian / Alaska Native,All,All,All,All,,49,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,Asian,All,All,All,All,147,1052,14.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,Black/African American,All,All,All,All,2115,14899,14.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,Hispanic,All,All,All,All,370,2164,17.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,White,All,All,All,All,9264,65005,14.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,Medicare & Medicaid,All,All,All,All,All,2435,16876,14.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,Medicare Only,All,All,All,All,All,9736,68341,14.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,Aged,All,All,3732,24373,15.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,65-74,All,1857,11989,15.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,75-84,All,1327,8856,15.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,85 and over,All,611,4387,13.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,All,All,4582,30679,14.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,All,Rural,0,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,All,Urban,4581,30673,14.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,Less than 65,All,787,5447,14.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,Disabled,All,All,743,4786,15.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,ESRD,All,All,107,1520,7.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,Female,All,All,All,3002,18651,16.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,Male,All,All,All,1580,12028,13.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,American Indian / Alaska Native,All,All,All,All,0,12,0.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,Asian,All,All,All,All,67,388,17.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,Black/African American,All,All,All,All,2935,20827,14.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,Hispanic,All,All,All,All,168,1004,16.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,White,All,All,All,All,1283,7695,16.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,Medicare & Medicaid,All,All,All,All,All,2034,15870,12.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,Medicare Only,All,All,All,All,All,2548,14809,17.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,Aged,All,All,169991,1776448,9.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,65-74,All,85102,842541,10.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,75-84,All,62093,663202,9.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,85 and over,All,24725,290404,8.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,All,All,205500,2043035,10.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,All,Rural,4589,61904,7.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,All,Urban,200643,1977322,10.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,Less than 65,All,33580,246888,13.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,Disabled,All,All,32364,234120,13.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,ESRD,All,All,3145,32467,9.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,Female,All,All,All,123464,1154771,10.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,Male,All,All,All,82036,888264,9.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,American Indian / Alaska Native,All,All,All,All,146,1430,10.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,Asian,All,All,All,All,2269,24409,9.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,Black/African American,All,All,All,All,19428,210483,9.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,Hispanic,All,All,All,All,47235,323610,14.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,White,All,All,All,All,132147,1440585,9.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,Medicare & Medicaid,All,All,All,All,All,62007,499144,12.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,Medicare Only,All,All,All,All,All,143493,1543891,9.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,Aged,All,All,45363,556903,8.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,65-74,All,25603,298457,8.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,75-84,All,15607,198406,7.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,85 and over,All,4895,71222,6.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,All,All,58662,686195,8.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,All,Rural,10516,148758,7.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,All,Urban,48112,536843,9.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,Less than 65,All,12557,118110,10.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,Disabled,All,All,11839,107813,11.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,ESRD,All,All,1460,21479,6.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,Female,All,All,All,36830,401161,9.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,Male,All,All,All,21832,285034,7.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,American Indian / Alaska Native,All,All,All,All,38,342,11.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,Asian,All,All,All,All,894,11335,7.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,Black/African American,All,All,All,All,15347,193854,7.9% 
